"Provincia","Municipio","Localidad","Código postal","Dirección","Precio gasolina 95 E5","Precio gasóleo A","Tipo venta","Tipo servicio","Rótulo"
"ALBACETE","ABENGIBRE","ABENGIBRE","02250","AVENIDA CASTILLA LA MANCHA, 26","1,529","1,419","P","A","Nº 10.935"
"ALBACETE","ALBACETE","ALBACETE","02001","CALLE FEDERICO GARCIA LORCA, 5","","1,560","R","A","CEPSA"
"ALBACETE","ALBACETE","ALBACETE","02001","CALLE FEDERICO GARCIA LORCA, 1","1,409","1,399","P","D","PLENOIL"
"ALBACETE","ALBACETE","ALBACETE","02001","AVENIDA 1º DE MAYO, S/N","1,539","1,489","P","A","CARREFOUR"
"ALBACETE","ALBACETE","ALBACETE","02001","CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5","1,549","1,549","P","A","BP ROMICA"
"ALBACETE","ALBACETE","ALBACETE","02005","AVENIDA MENÉNDEZ PIDAL, 58","1,569","1,529","P","A","TAMOS"
"ALBACETE","ALBACETE","ALBACETE","02005","CL PASEO DE LA CUBA, 15","1,579","1,549","P","A","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02005","AVENIDA ESCRITOR RODRIGO RUBIO, 3","1,498","1,387","P","","A&A"
"ALBACETE","ALBACETE","ALBACETE","02005","PASEO CUBA (LA), 36","1,579","1,579","P","P","CEPSA"
"ALBACETE","ALBACETE","ALBACETE","02002","CALLE HERMANOS FALCÓ, 2","1,599","1,579","P","","CEPSA"
"ALBACETE","ALBACETE","ALBACETE","02006","AVDA. DE LOS TOREROS, S/N","1,529","1,419","P","P","INPEALSA"
"ALBACETE","ALBACETE","ALBACETE","02006","CALLE ALMANSA, 2","1,579","1,579","P","A","CEPSA"
"ALBACETE","ALBACETE","ALBACETE","02006","CR N-322, 337,8","1,569","1,549","P","P","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02006","CALLE CTRA. DE JAEN, 79","1,569","1,549","P","","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02006","CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N","1,409","1,399","P","A","FAMILY ENERGY"
"ALBACETE","ALBACETE","ALBACETE","02006","PG CAMPOLLANO-P. 2-CT, S.N.","1,579","1,559","P","A","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02006","CR N-301, 244","1,579","1,549","P","A","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02006","CARRETERA JAEN KM. 2","1,569","1,529","P","A","REPSOL"
"ALBACETE","ALBACETE","ALBACETE","02006","AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N","1,529","1,419","P","P","INPEALSA"
"ALBACETE","ALBACETE","ALBACETE","02006","CARRETERA NACIONAL 322 PTO KM 347 KM. 347","","1,429","P","A","P347"
"ALBACETE","ALBACETE","ALBACETE","02099","CARRETERA NACIONAL 301 KM. 256","1,529","1,399","P","D","INPEALSA"
"ALBACETE","ALBACETE","ALBACETE","02004","CARRETERA N-322 KM. 349","1,589","1,599","P","A","CEPSA"
"ALBACETE","ALBACETE","SANTA ANA","02328","AVENIDA PRINCIPE, 2","1,529","1,519","P","A","REPSOL"
"ALBACETE","ALBACETE","SALOBRAL (EL)","02099","CTRA.AGUASNUEVAS KM 0,25","","","R","A","CORYMAR"
"ALBACETE","ALBACETE","ALBACETE","02007","SECTOR PARCELA T-3 LOCAL52, 14","1,506","1,460","P","A","ALCAMPO"
"ALBACETE","ALBACETE","ALBACETE","02007","AVENIDA PRIMERA, S/N","1,399","1,379","P","A","GMOIL"
"ALBACETE","ALBACETE","ALBACETE","02007","AVENIDA 3ª ESQUINA C/ F Nº3, 3","1,498","1,387","P","A","FAST & GAS"
